Hamed Yazdanpanah and Paulo S. R. Diniz,New Trinion and Quaternion Set-Membership Affine Projection Algorithms,2017
Juan-Carlos Pena-Ramos and Marian Verhelst,Split-Delta Background Calibration for SAR ADCs,2017
Pietro Monsurrò and Alessandro Trifiletti,Calibration of Time-Interleaved ADCs via Hermitianity-Preserving Taylor Approximations,2017
Pinar Basak Basyurt and Edoardo Bonizzoni and Devrim Yilmaz Aksin and Franco Maloberti,A 0.4-V Supply Curvature-Corrected Reference Generator With 84.5-ppm/°C Average Temperature Coefficient Within −40 °C to 130 °C,2017
Ran Shu and Jinbo Li and Adrian Tang and Brian J. Drouin and Qun Jane Gu,Coupling-Inductor-Based Hybrid mm-Wave CMOS SPST Switch,2017
Hongjia Mo and Michael Peter Kennedy,Influence of Initial Conditions on the Fundamental Periods of LFSR-Dithered MASH Digital Delta–Sigma Modulators With Constant Inputs,2017
Mladen Mitrović and Michael Hofbauer and Bernhard Goll and Kerstin Schneider-Hornstein and Robert Swoboda and Bernhard Steindl and Kay-Obbe Voss and Horst Zimmermann,A DC-to-8.5 GHz 32 : 1 Analog Multiplexer for On-Chip Continuous-Time Probing of Single-Event Transients in a 65-nm CMOS,2017
Marko Neitola,Lee's Rule Extended,2017
Haiyang Zhu and Wenhua Yang and Gil Engel and Yong-Bin Kim,A Two-Parameter Calibration Technique Tracking Temperature Variations for Current Source Mismatch,2017
Hiroshi Fuketa and Shin-ichi O'uchi and Takashi Matsukawa,"Fully Integrated, 100-mV Minimum Input Voltage Converter With Gate-Boosted Charge Pump Kick-Started by LC Oscillator for Energy Harvesting",2017
YongJo Kim and Keunsoo Song and Dongkyun Kim and SeongHwan Cho,A 2.3-mW 0.01-mm $^{\text{2}}$ 1.25-GHz Quadrature Signal Corrector With 1.1-ps Error for Mobile DRAM Interface in 65-nm CMOS,2017
Li Ma and Zhi-Gong Wang and Jian Xu and N. M. Amin,A High-Linearity Wideband Common-Gate LNA With a Differential Active Inductor,2017
Pavel Zahradnik and Michal Šusta and Boris Šimák and Miroslav Vlček,Cascade Structure of Narrow Equiripple Bandpass FIR Filters,2017
Amin Farshidi and Laleh Behjat and Logan Rakai and David Westwick,A Multiobjective Cooptimization of Buffer and Wire Sizes in High-Performance Clock Trees,2017
Mou Chen and Shu-Yi Shao and Peng Shi and Yan Shi,Disturbance-Observer-Based Robust Synchronization Control for a Class of Fractional-Order Chaotic Systems,2017
Vladimir Zdraveski and Mirko Todorovski and Dimitar Trajanov and Ljupco Kocarev,Dynamic Load Balancing and Reactive Power Compensation Switch Embedded in Power Meters,2017
R. Sakthivel and S. Mohanapriya and H. R. Karimi and P. Selvaraj,A Robust Repetitive-Control Design for a Class of Uncertain Stochastic Dynamical Systems,2017
Guanglei Zhao and Changchun Hua,Improved High-Order-Reset-Element Model Based on Circuit Analysis,2017
Jooseung Lee and In-Cheol Park,High-Performance Low-Area Video Up-Scaling Architecture for 4-K UHD Video,2017
Bingyan Liu and Jiangzheng Cai and Jia Yuan and Yong Hei,A Low-Voltage SRAM Sense Amplifier With Offset Cancelling Using Digitized Multiple Body Biasing,2017
Jeremy Soh and Xiaofeng Wu,An FPGA-Based Unscented Kalman Filter for System-On-Chip Applications,2017
Anju P. Johnson and Rajat Subhra Chakraborty and Debdeep Mukhopadyay,An Improved DCM-Based Tunable True Random Number Generator for Xilinx FPGA,2017
Jinmook Lee and Seongwook Park and Injoon Hong and Hoi-Jun Yoo,An Energy-Efficient Speech-Extraction Processor for Robust User Speech Recognition in Mobile Head-Mounted Display Systems,2017
Takao Marukame and Kodai Ueyoshi and Tetsuya Asai and Masato Motomura and Alexandre Schmid and Masamichi Suzuki and Yusuke Higashi and Yuichiro Mitani,Error Tolerance Analysis of Deep Learning Hardware Using a Restricted Boltzmann Machine Toward Low-Power Memory Implementation,2017
Wen-Bo Du and Wen Ying and Gang Yan and Yan-Bo Zhu and Xian-Bin Cao,Heterogeneous Strategy Particle Swarm Optimization,2017
Sunder Kidambi and Andreas Antoniou,Design of Minimum-Phase Filters Using Optimization,2017
Soo-Chang Pei and Wen-Yang Lu and Bo-Yi Guo,Pole–Zero Assignment of All-Pass-Based Notch Filters,2017
Kai Yu and Sizhen Li and Gary Zhang and Zhihao Zhang and Qiaoling Tong and Xuecheng Zou,Design Considerations of Charge Pump for Antenna Switch Controller With SOI CMOS Technology,2017
Tianzuo Xi and Sherry Huang and Shita Guo and Ping Gui and Daquan Huang and Sudipto Chakraborty,High-Efficiency E-Band Power Amplifiers and Transmitter Using Gate Capacitance Linearization in a 65-nm CMOS Process,2017
Reza Bostani and Gholamreza Ardeshir and Hossein Miar-Naimi,Analysis of Millimeter-Wave LC Oscillators Based on Two-Port Network Theory,2017
Long Chen and Kareem Ragab and Xiyuan Tang and Jeonggoo Song and Arindam Sanyal and Nan Sun,A 0.95-mW 6-b 700-MS/s Single-Channel Loop-Unrolled SAR ADC in 40-nm CMOS,2017
Young-Ho Choi and Byungsub Kim and Jae-Yoon Sim and Hong-June Park,A Phase-Interpolator-Based Fractional Counter for All-Digital Fractional-N Phase-Locked Loop,2017
Junho Ko and Dongkyo Kim and Sanggeun Jeon,D-Band Common-Base Amplifiers With Gain Boosting and Interstage Self-Matching in 0.18- $\mu\text{m}$ SiGe HBT Technology,2017
Atif Raza Jafri and Amer Baghdadi and M. Najam-ul-Islam and Michel Jézéquel,Heterogeneous Multi-ASIP and NoC-Based Architecture for Adaptive Parallel TBICM-ID-SSD,2017
Joung Won Park and Behzad Razavi,Analysis of Second-Order Intermodulation in Miller Bandpass Filters,2017
Donggu Im and Ockgoo Lee and Ilku Nam,A TV Receiver Front-End With Linearized LNA and Current-Summing Harmonic Rejection Mixer,2017
Alireza Mahzoon and Bijan Alizadeh,Systematic Design Space Exploration of Floating-Point Expressions on FPGA,2017
Xing Li and Yin-Ping Li and Chi-Ying Tsui and Wing-Hung Ki,Wireless Power Transfer System With $\Sigma\Delta$- Modulated Transmission Power and Fast Load Response for Implantable Medical Devices,2017
Chao Deng and Guang-Hong Yang,Consensus of Linear Multiagent Systems With Actuator Saturation and External Disturbances,2017
Brian B. Johnson and Philip T. Krein,An Analytical Time–Domain Expression for the Net Ripple Produced by Parallel Interleaved Converters,2017
Mohammad Alhawari and Baker Mohammad and Hani Saleh and Mohammed Ismail,An Efficient Zero Current Switching Control for L-Based DC–DC Converters in TEG Applications,2017
Zhong-Hua Pang and Guo-Ping Liu and Donghua Zhou and Dehui Sun,Input Design-Based Compensation Control for Networked Nonlinear Systems With Random Delays and Packet Dropouts,2017
Xiaoling Wang and Housheng Su and Xiaofan Wang and Guanrong Chen,Nonnegative Edge Quasi-Consensus of Networked Dynamical Systems,2017
Xu Wang and Yongxin Zhu and Yajun Ha and Meikang Qiu and Tian Huang,An FPGA-Based Cloud System for Massive ECG Data Analysis,2017
Meng-Chou Chang and Po-Hung Yang and Ze-Gang Pan,Register-Less NULL Convention Logic,2017
Javier Hormigo and Julio Villalba,HUB Floating Point for Improving FPGA Implementations of DSP Applications,2017
Daniele Rossi and Vasileios Tenentes and Sheng Yang and Saqib Khursheed and Bashir M. Al-Hashimi,Aging Benefits in Nanometer CMOS Designs,2017
Ihsan Cicek and Ali Emre Pusane and Gunhan Dundar,An Integrated Dual Entropy Core True Random Number Generator,2017
Xiangdong Liu and Luyu Li and Zhen Li and Tyrone Fernando and Herbert H. C. Iu,Stochastic Stability Condition for the Extended Kalman Filter With Intermittent Observations,2017
Christos Volos and Jamal-Odysseas Maaita and Sundarapandian Vaidyanathan and Viet-Thanh Pham and Ioannis Stouboulos and Ioannis Kyprianidis,A Novel Four-Dimensional Hyperchaotic Four-Wing System With a Saddle–Focus Equilibrium,2017
Pietro Monsurrò and Alessandro Trifiletti,"Faster, Stabler, and Simpler—A Recursive-Least-Squares Algorithm Exploiting the Frisch–Waugh–Lovell Theorem",2017
Honggang Qi and Qingming Huang and Wen Gao,A Bit-Plane Decomposition Matrix-Based VLSI Integer Transform Architecture for HEVC,2017
Wen Yuan and Jeffrey S. Walling,Package-Level Reconfiguration of RF Matching Networks Using SMD Components,2017
Mohammed Abdulaziz and Waqas Ahmad and Markus Törmänen and Henrik Sjöland,A Linearization Technique for Differential OTAs,2017
Sadia Alam and S. M. Rezaul Hasan,A Gene–Protein–miRNA Electronic Oscillator,2017
Boyu Hu and Yuan Du and Rulin Huang and Jeffrey Lee and Young-Kai Chen and Mau-Chung Frank Chang,A Capacitor-DAC-Based Technique For Pre-Emphasis-Enabled Multilevel Transmitters,2017
Esmail Babakrpur and Won Namgoong,Matching for Concurrent Harmonic Sensing in an ${M}$ -Phase Mixer-First Receiver,2017
Venkata Narayana Rao Vanukuru and Vamsi Krishna Velidi,Compact Millimeter-Wave CMOS Wideband Three-Transmission-Zeros Bandstop Filter Using a Single Coupled-Line Unit,2017
Hiroshi Fuketa and Shinichi O’uchi and Takashi Matsukawa,A 0.3-V 1- $\mu \text{W}$ Super-Regenerative Ultrasound Wake-Up Receiver With Power Scalability,2017
Ehsan Rahiminejad and Mehdi Saberi and Reza Lotfi,A Power-Efficient Signal-Specific ADC for Sensor-Interface Applications,2017
Gwanghyeon Jeong and Seunghoon Kang and Taehwan Joo and Songcheol Hong,An Integrated Dual-Mode CMOS Power Amplifier With Linearizing Body Network,2017
Byeong Yong Kong and In-Cheol Park,Improved Sorting Architecture for ${K}$ -Best MIMO Detection,2017
Weijie Feng and Ying Zhang and Wenquan Che,Tunable Dual-Band Filter and Diplexer Based on Folded Open Loop Ring Resonators,2017
Blaise Ravelo,High-Pass Negative Group Delay RC-Network Impedance,2017
Injae Yoo and In-Cheol Park,Low-Power LDPC-CC Decoding Architecture Based on the Integration of Memory Banks,2017
M. Shabany and R. Doostnejad and M. Mahdavi and P. Glenn Gulak,A 38 pJ/b Optimal Soft-MIMO Detector,2017
